,miRNA,ceRNA,species,database,type
2764143,hsa-miR-378e,SRSF5,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2764259,hsa-miR-378e,TECR,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2764277,hsa-miR-378e,TGIF2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2764356,hsa-miR-378e,TOR1AIP2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2764505,hsa-miR-378e,WDR6,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2764658,hsa-miR-378e,ZNF652,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2764921,hsa-miR-378f,ARL2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2764925,hsa-miR-378f,ARMCX3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2765210,hsa-miR-378f,CENPL,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2765335,hsa-miR-378f,CSDE1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2765491,hsa-miR-378f,DTL,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2765934,hsa-miR-378f,HMGN1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2765935,hsa-miR-378f,HMGN2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2765941,hsa-miR-378f,HNRNPH1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2766185,hsa-miR-378f,LMNB2,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2766543,hsa-miR-378f,NPHP4,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2766790,hsa-miR-378f,PLGRKT,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2766933,hsa-miR-378f,RAB10,Homo sapiens,miRDB_6.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2767190,hsa-miR-378f,SF1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2767258,hsa-miR-378f,SLC2A3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2767395,hsa-miR-378f,SRRM2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2767639,hsa-miR-378f,TOR1AIP2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2767825,hsa-miR-378f,WDR6,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2767996,hsa-miR-378f,ZNF652,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2768019,hsa-miR-378f,ZNF800,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2768546,hsa-miR-378g,C17orf102,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2772569,hsa-miR-378h,ARL16,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2772908,hsa-miR-378h,COMMD6,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2772964,hsa-miR-378h,CUEDC1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2773057,hsa-miR-378h,DTL,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2773234,hsa-miR-378h,FLAD1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2773313,hsa-miR-378h,GLIS3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2773435,hsa-miR-378h,HMGN2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2773441,hsa-miR-378h,HNRNPH1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2773674,hsa-miR-378h,LMNB2,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2773844,hsa-miR-378h,MTMR11,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774023,hsa-miR-378h,NSMCE4A,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774036,hsa-miR-378h,NUP62,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774205,hsa-miR-378h,PLGRKT,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774221,hsa-miR-378h,POGZ,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774222,hsa-miR-378h,POLD2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774313,hsa-miR-378h,RAB10,Homo sapiens,miRDB_6.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774375,hsa-miR-378h,RGS19,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774498,hsa-miR-378h,SCAMP1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774592,hsa-miR-378h,SLC2A3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774604,hsa-miR-378h,SLC37A4,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774709,hsa-miR-378h,SRSF5,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774748,hsa-miR-378h,SUPT20H,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774848,hsa-miR-378h,TM2D2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2774926,hsa-miR-378h,TRA2B,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2775190,hsa-miR-378h,ZNF652,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2775214,hsa-miR-378h,ZNF800,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2775629,hsa-miR-378i,CENPL,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2775671,hsa-miR-378i,CLCC1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2775728,hsa-miR-378i,CSDE1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2775759,hsa-miR-378i,CUL3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2775854,hsa-miR-378i,DTL,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2775914,hsa-miR-378i,ENAH,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2775927,hsa-miR-378i,ERGIC3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2776166,hsa-miR-378i,HMGN1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2776172,hsa-miR-378i,HNRNPH1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2776379,hsa-miR-378i,LMNB2,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2776706,hsa-miR-378i,NUP62,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2776868,hsa-miR-378i,PLSCR1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2776879,hsa-miR-378i,POLD2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2776961,hsa-miR-378i,RAB10,Homo sapiens,miRDB_6.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2777013,hsa-miR-378i,RGS19,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2777207,hsa-miR-378i,SLC2A3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2777216,hsa-miR-378i,SLC37A4,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2777356,hsa-miR-378i,SUPT20H,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2777597,hsa-miR-378i,VRK3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2777759,hsa-miR-378i,ZNF652,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2779931,hsa-miR-379-3p,ASPH,Homo sapiens,miRDB_6.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2779937,hsa-miR-379-3p,ATP1B3,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2780137,hsa-miR-379-3p,FAM174A,Homo sapiens,miRDB_6.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2780138,hsa-miR-379-3p,FAM182B,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2780162,hsa-miR-379-3p,FXR1,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2780365,hsa-miR-379-3p,MTF2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2780650,hsa-miR-379-3p,RAD51AP1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2780667,hsa-miR-379-3p,RBM6,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2780827,hsa-miR-379-3p,SORBS2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2780877,hsa-miR-379-3p,TCF7L2,Homo sapiens,miRDB_6.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2780913,hsa-miR-379-3p,TNRC6B,Homo sapiens,miRDB_6.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2780915,hsa-miR-379-3p,TPD52,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2780960,hsa-miR-379-3p,VEZT,Homo sapiens,miRDB_6.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2781003,hsa-miR-379-3p,ZNF518A,Homo sapiens,miRDB_6.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2782583,hsa-miR-380-3p,FAM182B,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2783931,hsa-miR-381-3p,AASDHPPT,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2783992,hsa-miR-381-3p,ACTL6A,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784070,hsa-miR-381-3p,ALG6,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784169,hsa-miR-381-3p,ARIH1,Homo sapiens,miRDB_6.0;TargetSCAN_8.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784174,hsa-miR-381-3p,ARL2BP,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784185,hsa-miR-381-3p,ARNTL,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784217,hsa-miR-381-3p,ATG5,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784347,hsa-miR-381-3p,C11orf58,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784354,hsa-miR-381-3p,C14orf2,Homo sapiens,NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2784435,hsa-miR-381-3p,CASC3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784440,hsa-miR-381-3p,CASP4,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784468,hsa-miR-381-3p,CCDC66,Homo sapiens,miRDB_6.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784480,hsa-miR-381-3p,CCNK,Homo sapiens,TargetSCAN_8.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784515,hsa-miR-381-3p,CDC73,Homo sapiens,TargetSCAN_8.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784555,hsa-miR-381-3p,CEP192,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784632,hsa-miR-381-3p,CLTC,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2784717,hsa-miR-381-3p,CSDE1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784812,hsa-miR-381-3p,DDX5,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784828,hsa-miR-381-3p,DENND4B,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784977,hsa-miR-381-3p,ELF2,Homo sapiens,TargetSCAN_8.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2784997,hsa-miR-381-3p,ENY2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2785107,hsa-miR-381-3p,FBXO38,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2785155,hsa-miR-381-3p,FNTA,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2785174,hsa-miR-381-3p,FRYL,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2785295,hsa-miR-381-3p,GPR125,Homo sapiens,TargetSCAN_8.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2785406,hsa-miR-381-3p,HNRNPH1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2785409,hsa-miR-381-3p,HNRNPL,Homo sapiens,TargetSCAN_8.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2785411,hsa-miR-381-3p,HNRNPM,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2785544,hsa-miR-381-3p,JMJD1C,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2785556,hsa-miR-381-3p,KARS,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2785691,hsa-miR-381-3p,LCOR,Homo sapiens,TargetSCAN_8.0;RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2785694,hsa-miR-381-3p,LDLR,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2785851,hsa-miR-381-3p,MBNL1,Homo sapiens,TargetSCAN_8.0;RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2785862,hsa-miR-381-3p,MDM2,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2785931,hsa-miR-381-3p,MMS22L,Homo sapiens,miRDB_6.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786063,hsa-miR-381-3p,NEDD4L,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786255,hsa-miR-381-3p,NSMCE4A,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786278,hsa-miR-381-3p,NUP205,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786286,hsa-miR-381-3p,NUP98,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786458,hsa-miR-381-3p,PHTF2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786521,hsa-miR-381-3p,PNPLA8,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786536,hsa-miR-381-3p,POLR2H,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786577,hsa-miR-381-3p,PPP2CA,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786583,hsa-miR-381-3p,PPP2R5E,Homo sapiens,miRDB_6.0;TargetSCAN_8.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786593,hsa-miR-381-3p,PQBP1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786594,hsa-miR-381-3p,PRC1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786612,hsa-miR-381-3p,PROSER1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786633,hsa-miR-381-3p,PSMA3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786682,hsa-miR-381-3p,PXN,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786729,hsa-miR-381-3p,RAP2C,Homo sapiens,TargetSCAN_8.0;RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2786827,hsa-miR-381-3p,RNF111,Homo sapiens,TargetSCAN_8.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786904,hsa-miR-381-3p,RPL35A,Homo sapiens,TargetSCAN_8.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786952,hsa-miR-381-3p,SAP30L,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2786965,hsa-miR-381-3p,SCAMP1,Homo sapiens,TargetSCAN_8.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787039,hsa-miR-381-3p,SGK1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787043,hsa-miR-381-3p,SGOL1,Homo sapiens,TargetSCAN_8.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787175,hsa-miR-381-3p,SMC4,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787228,hsa-miR-381-3p,SP100,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2787282,hsa-miR-381-3p,SS18,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787291,hsa-miR-381-3p,ST3GAL3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787302,hsa-miR-381-3p,STARD3NL,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787312,hsa-miR-381-3p,STK39,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787329,hsa-miR-381-3p,STYX,Homo sapiens,TargetSCAN_8.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787524,hsa-miR-381-3p,TMTC4,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787554,hsa-miR-381-3p,TPD52,Homo sapiens,TargetSCAN_8.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787560,hsa-miR-381-3p,TRA2A,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787561,hsa-miR-381-3p,TRA2B,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787616,hsa-miR-381-3p,TTC33,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2787637,hsa-miR-381-3p,TXNIP,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787648,hsa-miR-381-3p,UBE2D3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787659,hsa-miR-381-3p,UBE3C,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787671,hsa-miR-381-3p,UBR3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787740,hsa-miR-381-3p,VEGFA,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787801,hsa-miR-381-3p,XIAP,Homo sapiens,TargetSCAN_8.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787806,hsa-miR-381-3p,XPO1,Homo sapiens,miRDB_6.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787886,hsa-miR-381-3p,ZMYM2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787939,hsa-miR-381-3p,ZNF43,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2787948,hsa-miR-381-3p,ZNF518A,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2791610,hsa-miR-382-5p,ABCD3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2791742,hsa-miR-382-5p,AKAP9,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2791828,hsa-miR-382-5p,AP5M1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2791936,hsa-miR-382-5p,ATP5C1,Homo sapiens,TargetSCAN_8.0;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2791950,hsa-miR-382-5p,ATXN2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2791972,hsa-miR-382-5p,BAMBI,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792017,hsa-miR-382-5p,BNIP2,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792110,hsa-miR-382-5p,CAB39,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792127,hsa-miR-382-5p,CAND1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792210,hsa-miR-382-5p,CD55,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792234,hsa-miR-382-5p,CDK16,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792250,hsa-miR-382-5p,CELF1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792254,hsa-miR-382-5p,CENPL,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792272,hsa-miR-382-5p,CEPT1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792311,hsa-miR-382-5p,CHUK,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792339,hsa-miR-382-5p,CLK3,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792341,hsa-miR-382-5p,CLOCK,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792347,hsa-miR-382-5p,CLTC,Homo sapiens,TargetSCAN_8.0;RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2792363,hsa-miR-382-5p,CNOT6,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792368,hsa-miR-382-5p,CNTRL,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792369,hsa-miR-382-5p,COA1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792393,hsa-miR-382-5p,COPS8,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792399,hsa-miR-382-5p,CORO7,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792463,hsa-miR-382-5p,CTDSPL2,Homo sapiens,miRDB_6.0;TargetSCAN_8.0;RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792505,hsa-miR-382-5p,DAP3,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792506,hsa-miR-382-5p,DAPP1,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792565,hsa-miR-382-5p,DGCR8,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792625,hsa-miR-382-5p,DNM1L,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792674,hsa-miR-382-5p,ECT2,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792697,hsa-miR-382-5p,EFR3A,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792718,hsa-miR-382-5p,EIF4G2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792740,hsa-miR-382-5p,EMC7,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792747,hsa-miR-382-5p,ENC1,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792770,hsa-miR-382-5p,ERCC2,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792797,hsa-miR-382-5p,EXOSC8,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792839,hsa-miR-382-5p,FAM214A,Homo sapiens,miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792849,hsa-miR-382-5p,FAM53C,Homo sapiens,RNAInter;miRWalk;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792869,hsa-miR-382-5p,FBXO11,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792880,hsa-miR-382-5p,FBXW7,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
2792957,hsa-miR-382-5p,G3BP2,Homo sapiens,RNAInter;NPInter_4.0;miRTarBase_9.0,miRNA-mRNA;miRNA-lncRNA
2793012,hsa-miR-382-5p,GINS4,Homo sapiens,RNAInter;NPInter_4.0,miRNA-mRNA;miRNA-lncRNA
